,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists,Unnamed: 0,name,estimate_mmr,solo_competetive_rank,leaderboard_rank,calculated_position
696,323792491,928,531,3,2,31,213,679,43.27047413793103,2.7058189655172415,2.5366379310344827,5.725215517241379,14.323275862068966,1998,Rr^,7040.0,,164.0,5.0
336,324277900,897,543,235,506,143,5,8,246.77703455964325,9.315496098104793,9.443701226309923,3.8639910813823857,10.9041248606466,2002,Yopaj,6439.0,,59.0,2.0
1241,139876032,797,444,1,3,27,725,41,81.46925972396487,3.7139272271016313,2.9397741530740276,5.8594730238393975,12.973651191969887,1156,kaka,8093.0,7807.0,12.0,4.0
335,143693439,782,478,0,0,1,83,698,50.30306905370844,3.317135549872123,2.3593350383631715,5.647058823529412,14.20076726342711,1186,Dy,7025.0,7895.0,111.0,5.0
1658,107803494,782,478,169,472,139,1,1,289.4936061381074,12.352941176470589,6.89769820971867,3.5370843989769822,10.336317135549873,673,曾焦阳,7031.0,8451.0,78.0,2.0
136,345803031,768,446,0,7,84,588,89,79.97135416666667,3.87109375,3.6080729166666665,6.09765625,15.50390625,2051,PlayHard-,6972.0,,52.0,4.0
1745,111114687,737,436,0,0,3,73,661,53.82225237449118,2.8426051560379917,2.401628222523745,6.240162822252374,12.83989145183175,720,y`,6684.0,,184.0,5.0
1637,100594231,712,438,335,125,76,104,72,261.4564606741573,11.450842696629213,6.523876404494382,4.012640449438202,11.470505617977528,522,ctm,6687.0,6807.0,21.0,1.0
1434,134276083,710,415,92,152,439,26,1,223.44929577464788,12.764788732394367,4.877464788732395,5.173239436619719,11.759154929577464,1072,old eLeVeN,7967.0,,21.0,3.0
1252,148526973,707,427,1,0,5,97,604,44.58557284299859,3.1654879773691653,2.85007072135785,5.908062234794908,15.043847241867043,1220,Jaunuel,6748.0,7179.0,66.0,5.0
1095,138857296,699,394,49,118,502,26,4,216.1602288984263,8.756795422031473,4.758226037195994,4.133047210300429,10.815450643776824,1143,JT-,8037.0,7180.0,45.0,3.0
397,101259972,687,393,0,1,1,40,645,37.21688500727802,3.9097525473071326,2.1848617176128093,5.797671033478894,12.65938864628821,542,Oli~,6555.0,,84.0,5.0
379,202217968,684,392,276,314,87,4,3,303.7763157894737,11.333333333333334,7.992690058479532,3.2909356725146197,9.365497076023392,1648,Emo,7489.0,8986.0,1.0,2.0
325,118134220,678,414,36,146,443,50,3,203.37020648967552,12.78023598820059,4.724188790560472,3.954277286135693,11.64896755162242,865,Faith_bian,7136.0,8560.0,46.0,3.0
1470,137193239,673,402,495,144,27,1,6,341.5066864784547,15.891530460624072,7.49777117384844,2.725111441307578,8.61961367013373,1118,eurus,6754.0,8274.0,1.0,1.0
346,148215639,672,378,446,200,21,2,3,344.3139880952381,17.578869047619047,6.705357142857143,2.8139880952380953,8.456845238095237,1218,Monet,7848.0,8916.0,10.0,1.0
1415,157475523,660,388,5,19,68,507,61,104.04545454545455,4.33030303030303,3.9545454545454546,4.746969696969697,12.41060606060606,1297,XinQ,6774.0,7369.0,199.0,4.0
1066,139937922,654,389,21,99,504,26,4,212.2981651376147,9.116207951070336,4.042813455657492,4.691131498470948,12.232415902140673,1157,Yang,7193.0,8293.0,53.0,3.0
314,94049589,645,355,0,0,9,102,534,57.644961240310074,2.655813953488372,2.3209302325581396,6.265116279069767,12.936434108527132,443,Fng,7782.0,8453.0,208.0,5.0
32,389022189,643,375,508,111,11,4,9,323.9813374805599,14.396578538102643,7.995334370139969,3.7418351477449456,9.0,2168,Palos,6789.0,7285.0,13.0,1.0
1,138543123,638,374,2,10,51,519,56,97.20062695924764,5.628526645768025,4.056426332288401,5.25705329153605,12.929467084639498,1140,Pyw,6867.0,8331.0,321.0,4.0
1123,113331514,637,352,0,1,11,111,514,47.13814756671899,3.3751962323390896,2.390894819466248,5.9026687598116165,12.919937205651491,750,Miposhka,6162.0,6900.0,37.0,5.0
1357,401792574,632,328,0,7,52,427,146,77.89873417721519,5.112341772151899,3.6487341772151898,5.693037974683544,13.522151898734178,2189,Taiga,7378.0,6261.0,48.0,4.0
532,108831569,630,277,12,94,472,38,14,160.95238095238096,6.673015873015873,4.063492063492063,5.838095238095238,12.217460317460317,688,Van,5897.0,,140.0,3.0
1242,54580962,630,328,0,1,15,132,482,65.6968253968254,3.6174603174603175,2.507936507936508,5.644444444444445,13.495238095238095,141,iNSaNiA,7378.0,6989.0,177.0,5.0
1579,137129583,624,363,131,380,108,2,3,294.5977564102564,14.408653846153847,7.075320512820513,3.4326923076923075,9.963141025641026,1117,Xm,6796.0,8584.0,1.0,2.0
109,86738694,622,326,166,341,98,12,5,274.8376205787781,8.940514469453376,6.488745980707395,3.3762057877813505,9.945337620578778,284,Qojqva,7378.0,7183.0,32.0,2.0
435,137895298,616,279,309,249,50,1,7,312.0470779220779,15.194805194805195,7.1185064935064934,3.2694805194805197,7.943181818181818,1132,ButterflyEffect,6651.0,,98.0,1.0
