,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists
0,131629056,1,0,1,0,0,0,0,303,9,4,5,9
1,306937857,5,3,3,1,1,0,0,1390,114,41,21,47
2,372244482,4,2,0,2,2,0,0,610,28,20,25,56
3,114032643,1,0,0,0,1,0,0,23,1,0,9,1
4,459735045,1,0,1,0,0,0,0,228,9,3,2,8
5,69074950,2,0,0,0,0,0,2,61,2,4,13,21
6,485195783,1,1,0,0,0,0,1,39,5,2,11,13
7,137232392,2,1,0,2,0,0,0,352,10,4,9,10
8,170852362,4,1,2,2,0,0,0,393,56,15,17,26
9,228687885,3,0,0,0,3,0,0,595,24,9,20,41
10,853868558,1,0,0,0,0,0,1,69,2,1,3,13
11,480477198,6,4,0,0,1,4,1,366,11,28,33,139
12,143851538,1,0,0,1,0,0,0,50,9,1,9,3
13,138543123,638,374,2,10,51,519,56,62014,3591,2588,3354,8249
14,461766678,1,0,0,1,0,0,0,193,16,2,5,4
15,340164633,1,0,0,0,1,0,0,85,13,0,6,7
16,135069724,1,0,0,0,1,0,0,94,17,1,12,12
17,205324317,1,1,0,0,0,1,0,82,5,9,4,18
18,217972766,3,1,1,1,0,1,0,850,47,10,14,19
19,920584223,4,2,1,1,2,0,0,764,50,47,19,56
20,147226653,1,0,0,0,0,1,0,10,4,1,7,4
21,106266655,21,13,19,1,0,0,1,6559,192,226,77,212
22,93159453,40,15,0,7,33,0,0,7169,422,172,281,320
23,1210646561,2,1,0,0,0,0,2,43,0,4,15,26
24,138608676,2,0,0,0,1,1,0,195,17,5,6,9
25,863174693,1,0,0,0,0,0,1,38,10,4,13,14
26,461635621,4,3,0,2,1,1,0,716,89,23,27,56
27,182812711,14,3,7,5,1,0,1,2797,125,66,107,111
28,207814692,1,0,0,0,0,1,0,19,2,1,11,16
29,381354025,2,1,0,0,0,2,0,32,0,13,16,43
30,367296545,2,0,2,0,0,0,0,310,23,15,17,2
31,220594221,7,4,5,2,0,0,0,1766,139,64,15,35
32,355565613,2,0,2,0,0,0,0,424,14,14,10,13
33,1095696433,1,1,0,0,0,1,0,79,3,6,1,13
34,933298226,1,0,0,0,1,0,0,52,3,4,9,4
35,142147636,32,10,29,2,1,0,0,8420,281,192,115,187
